TSNE1,TSNE2
-31.407185,-28.871542
9.412917,65.595314
-3.470422,1.1210234
-3.6819062,1.0821885
-15.458047,-17.227182
-11.9605055,0.9583129
57.83889,19.641932
-44.557083,21.82259
5.1124024,7.9946947
-43.170837,20.687593
-19.48956,-21.433645
-33.7075,-7.5107217
-32.220688,32.264534
-18.55062,-21.125088
46.48113,17.431593
-6.2982135,14.004584
5.6889076,-26.427847
12.006872,18.672754
49.178673,18.373114
26.115425,-15.222416
-1.9262348,-26.999949
-65.246284,2.5150683
57.23579,-23.316294
3.5498178,16.014118
37.13822,13.389429
-20.766104,-25.997452
62.275787,-7.4201026
55.68574,23.230047
-10.511673,-24.058252
49.068043,18.250906
-33.81255,30.591074
31.90773,-37.54139
-59.57444,3.378537
-36.180065,-21.77457
2.5425158,5.712257
1.3022525,-30.532383
-0.80760217,-7.041994
-20.415092,-30.590567
4.4389095,7.4692926
-3.8230872,42.934082
33.378456,19.775118
-2.7800837,-33.145325
34.42378,22.023273
0.5095707,12.8930645
14.668215,13.407353
-0.15379377,16.029047
54.25825,-31.298252
-4.37106,19.428274
54.249638,-32.02891
18.792305,35.01134
-28.763361,47.919437
-35.94757,29.237734
9.450764,66.54747
64.202286,3.03848
-59.583607,12.092873
-4.648841,47.21711
-69.15216,-6.6041365
3.202555,65.01271
-10.571341,-23.96547
-72.93777,-9.166554
-18.81194,-18.464664
-67.56,-4.568681
-28.19001,35.50852
43.430153,18.020506
-20.09263,-18.142717
3.0516036,3.6292753
19.61908,-31.697775
7.916874,-13.2999115
54.45568,-28.895723
-1.571154,-61.54163
-31.829071,31.215218
25.835995,-34.407475
19.399126,-30.06012
11.990913,14.366421
-42.161854,18.743145
0.28983158,0.8276636
11.095277,-63.575928
5.0354085,62.04263
7.8280234,-63.026333
60.675426,24.093422
-9.483513,1.4614321
-0.65210533,2.5083375
57.348557,18.92163
-34.105232,-19.61485
19.580671,24.798843
-0.051592655,2.8501794
10.77368,5.780498
-8.071155,-51.113506
71.5051,8.49849
-1.9268088,49.369442
-40.153603,-23.691124
-34.978973,-13.063798
-33.141117,32.56537
13.852031,-32.493603
65.57254,5.266977
58.1075,-12.870627
-65.85897,2.2432797
40.417755,9.970606
-27.525166,37.417824
19.178165,32.09531
60.976437,23.513836
-20.5854,-31.983248
-44.91049,21.177229
-47.587067,24.169334
-0.8977911,-58.878838
-33.082268,45.80189
57.47263,-27.403824
-64.84946,5.4773674
-50.669334,19.906155
-32.234425,-28.59315
-4.1347804,1.5645883
7.8321266,-12.887371
29.100286,-37.125698
-7.8874393,-51.02692
-0.14847182,-60.85938
-26.10786,-6.137656
-38.050102,42.95683
-28.48734,30.595425
-6.358315,-54.82909
-42.45092,17.64306
25.704895,28.94489
67.44059,-1.0607883
